"Sample","G1_1","G1Count_1","G2_1","G2Count_1","investigate","doublet","singleRSE","doubletRSE","multipleRSE","finalRSE","Algorithm"
"A1_1.fcs",150,441,325,113,0,1,9.60764542513559,5.29135256200591,NA,5.29135256200591,1
"A1_10.fcs",165,350.6,340,184.4,0,0,13.8703189416526,NA,NA,13.8703189416526,1
"A1_11.fcs",180,708.4,345,194.2,0,1,26.0117691071397,24.9898559072489,NA,24.9898559072489,1
"A1_12.fcs",170,347.8,335,49.2,0,1,5.54083074566146,4.54388651965352,NA,4.54388651965352,1
"A1_2.fcs",150,447.8,335,103.8,0,0,12.4095316071825,NA,NA,12.4095316071825,1
"A1_3.fcs",155,387.2,330,151.2,0,0,13.1615362056661,NA,NA,13.1615362056661,1
"A1_4.fcs",150,390.2,340,133.6,0,0,13.4513865961982,NA,NA,13.4513865961982,1
"A1_5.fcs",145,309.8,330,166,0,1,12.964682210566,8.14638700968167,NA,8.14638700968167,3
"A1_6.fcs",140,289.6,305,177.2,0,1,13.1831602978625,4.21075491510075,NA,4.21075491510075,3
"A1_7.fcs",160,261,350,217.8,0,1,12.7803442910329,7.20714888287303,NA,7.20714888287303,2
"A1_8.fcs",150,315.8,330,187.2,0,1,13.0003017787977,4.1768020908819,NA,4.1768020908819,2
"A1_9.fcs",160,373.2,340,190.4,0,1,13.4006541455584,5.16012365212766,NA,5.16012365212766,2
"A2_1.fcs",175,522.2,340,123.2,0,1,9.15096524044472,8.43645774618106,NA,8.43645774618106,1
"A2_10.fcs",190,510.8,350,190.8,0,0,13.3562306713953,NA,NA,13.3562306713953,1
"A2_11.fcs",185,577.4,350,155.4,0,0,9.22878647504096,NA,NA,9.22878647504096,1
"A2_12.fcs",185,595.2,350,120.8,0,1,7.79901202032125,6.3512685989181,NA,6.3512685989181,1
"A2_2.fcs",175,543.8,330,129.8,0,1,10.6788405173358,9.83816988109526,NA,9.83816988109526,1
"A2_3.fcs",170,542,335,108,0,1,8.92669701137052,8.63718515004787,NA,8.63718515004787,1
"A2_4.fcs",175,457,345,194.6,0,0,11.8615715767323,NA,NA,11.8615715767323,1
"A2_5.fcs",180,436.8,345,193,0,0,13.3788148478073,NA,NA,13.3788148478073,1
"A2_6.fcs",180,488.2,345,215.8,0,0,14.1596842186202,NA,NA,14.1596842186202,1
"A2_7.fcs",180,432.4,345,214.2,0,0,12.819294086305,NA,NA,12.819294086305,1
"A2_8.fcs",184,200,348,91,0,1,7.09441989796232,5.04977869051087,NA,5.04977869051087,1
"A2_9.fcs",185,515,350,195.4,0,1,11.5038137019269,8.22041063402232,NA,8.22041063402232,1
"A3_1.fcs",178,510.8,338,57,0,1,12.3441881296408,12.4642303905264,NA,12.3441881296408,1
"A3_10.fcs",172,493.8,338,109.8,0,1,11.0512345449932,10.6082749749799,NA,10.6082749749799,1
"A3_11.fcs",175,1043.8,335,227.8,0,1,18.0817290206001,17.4086369137865,NA,17.4086369137865,1
"A3_12.fcs",180,942.4,340,182.2,0,1,27.6313548399238,28.150673565329,NA,27.6313548399238,1
"A3_2.fcs",176,518,336,75.8,0,1,12.179172517023,12.2462843386921,NA,12.179172517023,1
"A3_3.fcs",180,970.2,340,164.4,0,1,27.9110705395473,27.9374937799361,NA,27.9110705395473,1
"A3_4.fcs",180,926.6,345,244.4,0,1,23.6098611266632,23.3360954546404,NA,23.3360954546404,1
"A3_5.fcs",180,862,345,255.4,0,0,26.782883832268,NA,NA,26.782883832268,1
"A3_6.fcs",175,837.4,335,280.4,0,1,28.4835513822448,27.5349242620289,NA,27.5349242620289,1
"A3_7.fcs",175,901.2,340,270.2,0,1,22.7268124016344,21.3314832766913,NA,21.3314832766913,1
"A3_8.fcs",175,948.2,340,290.4,0,1,19.1251743621232,17.171363191733,NA,17.171363191733,1
"A3_9.fcs",180,816.8,340,228.6,0,1,30.8227249139205,30.5650966704655,NA,30.5650966704655,1
"A4_1.fcs",182,466.75,334,79.5,0,1,10.9272874005239,9.61291306933732,NA,9.61291306933732,4
"A4_10.fcs",180,635,340,234.6,0,0,31.202291183048,NA,NA,31.202291183048,1
"A4_11.fcs",174,276.2,336,132,0,1,10.5529416579713,8.52102386243945,NA,8.52102386243945,1
"A4_12.fcs",180,925.4,345,175.8,0,1,15.2887718635347,15.0379281680731,NA,15.0379281680731,1
"A4_2.fcs",185,976.2,340,155.4,0,1,25.2474241403958,25.5075899372411,NA,25.2474241403958,1
"A4_3.fcs",185,949.2,345,206.6,0,1,17.6658653145153,17.4315842257669,NA,17.4315842257669,1
"A4_4.fcs",185,867.2,345,207.4,0,1,27.5179668544476,27.1439792600349,NA,27.1439792600349,1
"A4_5.fcs",185,752.2,350,252.8,0,0,27.1896949296956,NA,NA,27.1896949296956,1
"A4_6.fcs",185,679.6,345,303.6,0,0,25.1646375101985,NA,NA,25.1646375101985,1
"A4_7.fcs",184,325.25,344,112,0,1,12.556767564968,11.0858692714487,NA,11.0858692714487,4
"A4_8.fcs",180,608.6,340,259.6,0,0,27.1960585643182,NA,NA,27.1960585643182,1
"A4_9.fcs",180,647.2,345,245.8,0,0,26.5030185191614,NA,NA,26.5030185191614,1
